pd,race_eth,age,male,dismissal,st_id,loc2
las,Black,32,1,0,106,kingston - throop avs
las,Asian/Pacific Islander,47,0,1,28,avenue h q subway
las,Black,20,1,0,131,nostrand ave and fulton st a c station
las,Black,64,1,0,150,utica ave and fulton st
las,Black,23,1,0,131,nostrand ave and fulton st a c station
las,Black,29,1,0,27,atlantic ave barclays center station
las,Black,26,0,1,68,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway
las,Black,52,1,0,44,bedford ave l station
las,Black,52,1,0,85,franklin ave c subway s subway
las,Non-Hispanic White,22,1,1,31,avenue m subway
las,Black,59,1,0,97,hoyt st 2 3
las,Black,18,1,1,50,brighton beach b subway q subway
las,Non-Hispanic White,22,1,0,88,graham ave l line
las,Black,21,1,1,72,dekalb ave b q r line
las,Black,29,1,0,98,hoyt-schermerhorn a c g line
las,Black,22,1,0,88,graham ave l line
las,Black,20,1,1,23,86 street r subway
las,Non-Hispanic White,34,1,1,85,franklin ave c subway s subway
las,Black,56,1,0,97,hoyt st 2 3
las,Black,25,1,0,135,pennsylvania ave 3 line station
las,Black,19,1,1,108,kosciuszko st j subway
las,Black,33,1,1,150,utica ave and fulton st
las,Black,28,1,0,123,nevins st 2 3 4 5 lines
las,Black,19,1,0,117,myrtle av and broadway station
las,Black,27,1,1,101,junius st 3 line
las,Hispanic,20,1,1,78,flatbush av-brooklyn college station
las,Black,53,1,0,98,hoyt-schermerhorn a c g line
las,Black,23,1,1,84,franklin ave and eastern parkway
las,Black,24,1,0,77,euclid av a subway a subway
las,Black,28,0,1,98,hoyt-schermerhorn a c g line
las,Black,17,1,1,148,sutter av - rutland rd 3 line
las,Black,31,1,0,141,rockaway ave c line
las,Black,21,1,0,99,jay st - metrotech
las,Black,23,1,1,27,atlantic ave barclays center station
las,Black,21,1,1,98,hoyt-schermerhorn a c g line
las,Black,18,1,1,73,dekalb l station
las,Non-Hispanic White,45,1,0,114,marcy ave j m z line
las,Non-Hispanic White,21,1,1,129,norwood ave j z line
las,Black,18,1,1,131,nostrand ave and fulton st a c station
las,Black,25,0,1,131,nostrand ave and fulton st a c station
las,Black,19,1,0,141,rockaway ave c line
las,Black,39,1,1,141,rockaway ave c line
las,Black,34,1,1,131,nostrand ave and fulton st a c station
las,Black,23,1,1,54,canarsie rockaway pkwy
las,Black,17,1,0,59,church av b subway q subway
las,Hispanic,57,1,1,108,kosciuszko st j subway
las,Black,20,1,0,150,utica ave and fulton st
las,Black,30,0,1,141,rockaway ave c line
las,Black,31,1,0,68,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway
las,Black,23,1,1,87,gates av j subway z subway
las,Black,20,0,1,18,71st st and new utrecht ave d subway
las,Black,50,1,1,131,nostrand ave and fulton st a c station
las,Black,29,1,0,150,utica ave and fulton st
las,Black,24,1,1,130,nostrand ave 3 line
