"rowname","wave","Prefecture","Hokkaido","Tohoku","Kanto","Chubu","Kinki","Chugokushikoku","Kyushu","Region","nallschool","nschool","nJA","nJB","nMA","nMB","JapaneseA","JapaneseB","MathA","MathB","Japanese","Math","nJ","nM"
"1",2007,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1282","1273","46518","46517","46518","46507",79.4444444444445,58,76.8421052631579,58.5714285714286,71.7857142857143,39.4484848484848,NA,NA
"1",2008,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1257","1256","47413","47399","47414","47399",60.5555555555556,46.6666666666667,66.3157894736842,47.6923076923077,55,31.975,NA,NA
"1",2009,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1234","1226","45921","45903","45920","45899",66.1111111111111,46,73.8888888888889,51.4285714285714,58.9285714285714,35.8,NA,NA
"1",2010,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1213","239","9122","9121","9122","9121",80,74,68.9473684210526,45,77.6,30.5193548387097,NA,NA
"1",2011,"Hokkaido","1","0","0","0","0","0","0","Hokkaido",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1",2012,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1146","224","8557","8559","8559","8561",78.8235294117647,53.6363636363636,69.4736842105263,55.3846153846154,68.9285714285714,35.7,NA,NA
"1",2013,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1118","1113","43571","43566","43575","43570",60.5555555555556,46,74.7368421052632,53.8461538461538,55.3571428571429,36.075,NA,NA
"1",2014,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1096","1096","42951","42939","42949","42930",72,53,75.8823529411765,55.3846153846154,64.4,36.9,NA,NA
"1",2015,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1080","1076","42068","42050","42065","42041",67.8571428571429,63.3333333333333,72.5,42.3076923076923,66.0869565217391,30.5655172413793,NA,NA
"1",2016,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1048","1046","40277","40264","40276","40262",71.3333333333333,56,75,44.6153846153846,65.2,32,NA,NA
"1",2017,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1043","971","35797","35791","35802","35794",74,56,77,44,67.25,63.0384615384615,NA,NA
"1",2018,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1016","1012","39610","39599","39610","39603",70,53,62,49,63.2,56.5833333333333,NA,NA
"1",2019,"Hokkaido","1","0","0","0","0","0","0","Hokkaido","1001","997",NA,NA,NA,NA,NA,NA,NA,NA,62.8571428571429,64.2857142857143,"38831","38837"
