"stfips","region","year","year_mcaid","income_pc","hospitals_pc","beds_pc","child_pop","afdc_rate","public_insurance_child"
1,4,1963,1970,1.734,0.037103139,4.2544932,1379632.671875,3.8093157,0
1,4,1964,1970,1.864,0.03872481,4.4770684,1376832.578125,3.8093157,0
1,4,1965,1970,2,0.038837131,4.4820042,1374032.421875,3.8093157,0
1,4,1966,1970,2.132,0.03775911,4.5575542,1371232.328125,3.8093157,0
1,4,1967,1970,2.256,0.036691371,4.8166304,1368432.21875,3.8093157,0
1,4,1968,1970,2.474,0.036517248,4.7787533,1365632.09375,3.8093157,0
1,4,1969,1970,2.734,0.03634477,4.9883199,1362832,3.8093157,0
1,4,1970,1970,2.962,0.035894617,4.9774833,1364955,3.8093157,0.0307321493627025
1,4,1971,1970,3.206,0.036313217,4.9108624,1367078,3.8093157,0.0423978431300774
1,4,1972,1970,3.526,0.038418047,5.1790915,1364949,3.8093157,0.0578370818694648
1,4,1973,1970,3.943,0.039656397,5.4605742,1359850,3.8093157,0.0686661291028613
1,4,1974,1970,4.336,0.038591117,5.4647775,1355803,3.8093157,0.0783909622322451
1,4,1975,1970,4.766,0.037494957,5.4976301,1354578,3.8093157,0.0816554101123684
1,4,1976,1970,5.313,0.037195232,5.4821491,1352321,3.8093157,0.082273076944035
2,5,1963,1972,3.087,0.076343648,5.1752958,107648.3359375,4.7843308,0
2,5,1964,1972,3.382,0.081889257,5.2955055,111030.442382812,4.7843308,0
2,5,1965,1972,3.549,0.079541504,4.9643998,114412.557617188,4.7843308,0
2,5,1966,1972,3.807,0.077324614,4.8640866,117794.6640625,4.7843308,0
2,5,1967,1972,4.065,0.078810237,4.6211457,121176.778320312,4.7843308,0
2,5,1968,1972,4.305,0.073241986,4.3526669,124558.884765625,4.7843308,0
2,5,1969,1972,4.769,0.071358182,4.0436306,127941,4.7843308,6.64390728958e-05
2,5,1970,1972,5.248,0.068778493,3.9498506,131118,4.7843308,0
2,5,1971,1972,5.583,0.069539711,3.7266963,134295,4.7843308,0
2,5,1972,1972,5.94,0.06739556,3.700629,136554,4.7843308,0.0086937065142133
2,5,1973,1972,6.805,0.066039495,3.3560069,137289,4.7843308,0.0220127245094883
2,5,1974,1972,8.13,0.063831389,3.2379925,139744,4.7843308,0.0302813015436503
2,5,1975,1972,10.666,0.059320617,3.1278143,148514,4.7843308,0.0322124513173243
2,5,1976,1972,12.109,0.05597993,3.1526878,154354,4.7843308,0.0303841182149801
5,4,1963,1970,1.637,0.043905288,5.035388,719927.6640625,2.685596,0.0145742732993841
5,4,1964,1970,1.757,0.042528875,5.1525369,719632.2265625,2.685596,0.0132536019359134
5,4,1965,1970,1.859,0.043878846,5.0403795,719336.7734375,2.685596,0.0156009326094589
5,4,1966,1970,2.063,0.044134997,5.1594887,719041.3359375,2.685596,0.0162054787379708
5,4,1967,1970,2.185,0.047061842,5.2222605,718745.890625,2.685596,0.0180036811352751
5,4,1968,1970,2.37,0.046763141,5.2337518,718450.4453125,2.685596,0.0158674838971541
5,4,1969,1970,2.616,0.049108446,5.1901817,718155,2.685596,0.0226815033325728
5,4,1970,1970,2.84,0.048633702,5.1598291,726486,2.685596,0.0210010921883289
5,4,1971,1970,3.088,0.047668792,5.0620203,734846,2.685596,0.0338362907274221
5,4,1972,1970,3.409,0.045589987,5.1571193,743904,2.685596,0.0418506950087157
5,4,1973,1970,3.978,0.045180678,5.2642779,749851,2.685596,0.0528567247082357
5,4,1974,1970,4.368,0.043804746,5.2646642,755545,2.685596,0.0691297317040133
5,4,1975,1970,4.668,0.042626992,5.3195705,768148,2.685596,0.0866025806889881
5,4,1976,1970,5.157,0.042422589,5.4245577,759030,2.685596,0.0974828675888845
6,5,1963,1966,3.1,0.031008016,4.6307454,6356669.75,3.1898656,0.0173335947875503
6,5,1964,1966,3.273,0.031814504,4.6388059,6522320.5625,3.1898656,0.0227258936290555
6,5,1965,1966,3.41,0.031856764,4.5143595,6687971.4375,3.1898656,0.0305722994251642
6,5,1966,1966,3.653,0.031027541,4.6257119,6853622.25,3.1898656,0.0643146301495541
6,5,1967,1966,3.87,0.030449897,4.5931072,7019273.34375,3.1898656,0.132931745713663
6,5,1968,1966,4.196,0.029743595,4.6281862,7184923.90625,3.1898656,0.120390978268425
6,5,1969,1966,4.532,0.029778326,4.6094112,7350575,3.1898656,0.173510149960421
6,5,1970,1966,4.801,0.028833961,4.4931092,7363868,3.1898656,0.190579185794261
6,5,1971,1966,5.027,0.02870382,4.4235339,7377161,3.1898656,0.190382628916316
6,5,1972,1966,5.451,0.028321706,4.4539404,7337456,3.1898656,0.173823604065278
6,5,1973,1966,5.944,0.027937654,4.4312568,7303957,3.1898656,0.166558811798975
6,5,1974,1966,6.557,0.027771633,4.4840322,7267093,3.1898656,0.183282874319114
6,5,1975,1966,7.136,0.027069932,4.4145346,7253090,3.1898656,0.191878658351304
6,5,1976,1966,7.835,0.026624598,4.3694887,7245053,3.1898656,0.194446903041875
8,5,1963,1969,2.528,0.04133511,5.3645554,750576,2.8375297,0.0090847392635385
8,5,1964,1969,2.628,0.042456865,5.4727936,767506.666015625,2.8375297,0.0104684838184372
8,5,1965,1969,2.787,0.039479118,5.2965283,784437.333984375,2.8375297,0.0127859025689192
8,5,1966,1969,2.965,0.039602309,5.1473098,801367.999023438,2.8375297,0.0165278555064865
8,5,1967,1969,3.126,0.040204596,5.2130346,818298.666015625,2.8375297,0.0168814809587774
8,5,1968,1969,3.364,0.038884733,5.2646136,835229.33203125,2.8375297,0.0165281751659382
8,5,1969,1969,3.687,0.039476991,5.3609753,852160,2.8375297,0.0593767257677954
8,5,1970,1969,4.04,0.037696224,5.0041733,867579,2.8375297,0.0593767257677954
8,5,1971,1969,4.399,0.037766844,5.0503383,883019,2.8375297,0.0610453848363708
8,5,1972,1969,4.774,0.036594775,4.8787484,906311,2.8375297,0.0634281229545719
8,5,1973,1969,5.283,0.035257228,4.6287131,923910,2.8375297,0.0635894248206632
8,5,1974,1969,5.837,0.035413217,4.6981535,921726,2.8375297,0.0634504121794307
8,5,1975,1969,6.322,0.035572838,4.8263059,919921,2.8375297,0.0736878183097919
8,5,1976,1969,6.88,0.035329379,4.7728853,912898,2.8375297,0.0829885064556195
9,1,1963,1966,3.113,0.022263223,4.9309325,986151,1.6915168,0.0415250404429314
9,1,1964,1966,3.258,0.021467878,4.8557429,1008973,1.6915168,0.0476350574796218
9,1,1965,1966,3.428,0.020702776,4.762352,1031795,1.6915168,0.045986105316333
9,1,1966,1966,3.705,0.019265654,4.655983,1054617,1.6915168,0.0647258767051355
9,1,1967,1966,4.018,0.018568914,4.5500717,1077439,1.6915168,0.0813868144758402
9,1,1968,1966,4.243,0.018234923,4.5695367,1100261,1.6915168,0.0759819717910849
9,1,1969,1966,4.821,0.017249301,4.3594289,1123083,1.6915168,0.0915315140284017
9,1,1970,1966,5.071,0.018103806,4.5345101,1118838,1.6915168,0.0854609864748405
9,1,1971,1966,5.295,0.017965313,4.5331388,1114593,1.6915168,0.0994155344384083
9,1,1972,1966,5.692,0.017917464,4.6259632,1099697,1.6915168,0.10013470029597
9,1,1973,1966,6.226,0.018571869,4.7788353,1079514,1.6915168,0.100304258364719
9,1,1974,1966,6.794,0.018206704,4.5637054,1060965,1.6915168,0.105925270315378
9,1,1975,1966,7.252,0.017829675,4.4849734,1043340,1.6915168,0.113637413962074
9,1,1976,1966,7.878,0.018146474,4.5767999,1020762,1.6915168,0.123403261997324
10,3,1963,1966,3.055,0.027265195,7.0218363,187481.3359375,2.1339111,0
10,3,1964,1966,3.216,0.026695848,6.8402977,192052.778320312,2.1339111,0
10,3,1965,1966,3.477,0.026149793,6.5394592,196624.221679688,2.1339111,0
10,3,1966,1966,3.607,0.021683224,6.3827524,201195.6640625,2.1339111,0.0034792000931458
10,3,1967,1966,3.78,0.019324662,5.8534403,205767.10546875,2.1339111,0.0691407452509069
10,3,1968,1966,4.072,0.018952236,5.6117573,210338.556640625,2.1339111,0.0898551323186287
10,3,1969,1966,4.406,0.020453282,6.0541716,214910,2.1339111,0.154809200057816
10,3,1970,1966,4.594,0.01813207,5.5484138,217761,2.1339111,0.108192009372882
10,3,1971,1966,4.888,0.017692633,5.4068685,220612,2.1339111,0.136755309806683
10,3,1972,1966,5.297,0.017426947,5.0869255,220375,2.1339111,0.134970194917653
10,3,1973,1966,5.858,0.018994993,5.3047833,218370,2.1339111,0.124570691967514
10,3,1974,1966,6.336,0.015433448,4.8118062,215573,2.1339111,0.133192257820392
10,3,1975,1966,6.74,0.018684065,5.481225,213486,2.1339111,0.146098820346554
10,3,1976,1966,7.345,0.02024452,5.6650915,210186,2.1339111,0.154150720212739
11,3,1963,1968,3.254,0.02097716,8.3475981,248199.6640625,2.5571074,0.0032476541301791
11,3,1964,1968,3.462,0.020988366,8.4609346,249914.884765625,2.5571074,0.0023781759992346
11,3,1965,1968,3.756,0.022312056,8.8683863,251630.115234375,2.5571074,0.002264526063133
11,3,1966,1968,3.951,0.022323988,9.2263727,253345.3359375,2.5571074,0.003037051785305
11,3,1967,1968,4.234,0.023649812,9.2799234,255060.55859375,2.5571074,0.0032571799302248
11,3,1968,1968,4.53,0.02366247,9.7699709,256775.779296875,2.5571074,0.0268716943201782
11,3,1969,1968,4.483,0.023675146,9.9422455,258491,2.5571074,0.119166199352066
11,3,1970,1968,4.97,0.023826353,10.034866,253090,2.5571074,0.277249176856878
11,3,1971,1968,5.497,0.023979506,9.9754744,247689,2.5571074,0.297681746443375
11,3,1972,1968,6.026,0.024200769,10.05542,240939,2.5571074,0.321107057864617
11,3,1973,1968,6.47,0.024533957,9.8326645,232798,2.5571074,0.339492848428174
11,3,1974,1968,7.252,0.023586281,9.7439089,223042,2.5571074,0.360996076220844
11,3,1975,1968,8.034,0.023933414,9.6310873,214420,2.5571074,0.390069435635034
11,3,1976,1968,8.728,0.024414588,9.8261538,205851,2.5571074,0.421128619480404
12,4,1963,1970,2.197,0.027867042,3.7177913,1965844.34375,3.2550168,0.0013474012978162
12,4,1964,1970,2.346,0.026455233,3.7665198,2019692.125,3.2550168,0.0014181706067683
12,4,1965,1970,2.493,0.025472026,3.7735739,2073539.875,3.2550168,0.0015188124221818
12,4,1966,1970,2.676,0.026869444,4.1937895,2127387.65625,3.2550168,0.0087258651829918
12,4,1967,1970,2.902,0.026897514,4.392992,2181235.46875,3.2550168,0.0106847059230113
12,4,1968,1970,3.238,0.025984796,4.4441829,2235083.25,3.2550168,0.0099325158808461
12,4,1969,1970,3.658,0.026644539,4.7993665,2288931,3.2550168,0.0120597503165019
12,4,1970,1970,3.998,0.025635572,4.6707721,2346562,3.2550168,0.0398450998977997
12,4,1971,1970,4.282,0.025268845,4.7703671,2404193,3.2550168,0.0499811372701119
12,4,1972,1970,4.696,0.024732785,4.7504234,2477867,3.2550168,0.0547135576847038
12,4,1973,1970,5.217,0.024598749,4.7947378,2565499,3.2550168,0.0571551243362401
12,4,1974,1970,5.591,0.025249267,4.9434457,2643053,3.2550168,0.0605294249735087
12,4,1975,1970,5.901,0.025756346,5.2011428,2659220,3.2550168,0.0627730623590963
12,4,1976,1970,6.36,0.026106363,5.287631,2634254,3.2550168,0.0626660086209693
13,4,1963,1967,1.946,0.031694833,3.7292237,1703845.3125,2.0779154,0
13,4,1964,1967,2.067,0.031216374,3.742867,1720026.0625,2.0779154,0.0002505966679439
13,4,1965,1967,2.241,0.031691141,3.6988258,1736206.9375,2.0779154,0.0013344054352831
13,4,1966,1967,2.442,0.032614615,3.9001064,1752387.6875,2.0779154,0.0034213631090628
13,4,1967,1967,2.636,0.0321436,4.011795,1768568.5,2.0779154,0.0075952082030089
13,4,1968,1967,2.87,0.03303434,4.0191779,1784749.25,2.0779154,0.0220759307553984
13,4,1969,1967,3.149,0.032570656,3.9838121,1800930,2.0779154,0.0434350736690706
13,4,1970,1967,3.379,0.032961227,4.2103629,1823834,2.0779154,0.0649571167081582
13,4,1971,1967,3.65,0.033759963,4.5085473,1846747,2.0779154,0.0822443278112412
13,4,1972,1967,4.023,0.033287417,4.581181,1862434,2.0779154,0.0945471322175249
13,4,1973,1967,4.481,0.033833016,4.6838346,1878239,2.0779154,0.103846049232893
13,4,1974,1967,4.854,0.034237903,4.8723936,1882740,2.0779154,0.11709718146119
13,4,1975,1967,5.157,0.034202572,4.9065866,1878831,2.0779154,0.129956444540735
13,4,1976,1967,5.687,0.033946358,4.9569488,1868610,2.0779154,0.133124967004585
15,5,1963,1966,2.706,0.041653298,5.162034,281634.33203125,1.9600229,0.0228790037905724
15,5,1964,1966,2.868,0.042313311,5.1038604,284652.7734375,1.9600229,0.0242490362031019
15,5,1965,1966,3.123,0.041516855,4.4537568,287671.2265625,1.9600229,0.0242593221644931
15,5,1966,1966,3.385,0.040749833,4.6749897,290689.66796875,1.9600229,0.032420546084578
15,5,1967,1966,3.612,0.037251282,4.4508386,293708.10546875,1.9600229,0.0471787248753806
15,5,1968,1966,4.005,0.037942689,4.8295622,296726.55078125,1.9600229,0.0502145827500553
