"year","month","statefip","age","sex","race","college","earnweek","hrsworkt","hispanic","ind","hhid","personid","serial"
2022,6,1,48,"Male","White","College degree",2880,40,"Not Hispanic",2190,20220300001400,20220300001401,11
2022,6,1,24,"Male","White","No college degree",720,40,"Not Hispanic",7680,20220300001800,20220300001801,14
2022,6,1,23,"Female","White","No college degree",420,40,"Not Hispanic",5170,20220300001800,20220300001802,14
2022,6,1,46,"Male","Black","No college degree",654,40,"Not Hispanic",9160,20220300002900,20220300002902,38
2022,6,1,65,"Male","Black","No college degree",1510,24,"Not Hispanic",8191,20210300003100,20210300003101,40
2022,6,1,26,"Female","White","No college degree",600,40,"Hispanic",7480,20220300004300,20220300004301,54
2022,6,1,27,"Female","White","No college degree",600,40,"Hispanic",7480,20220300004300,20220300004302,54
2022,6,1,50,"Male","Black","No college degree",1730,40,"Not Hispanic",1270,20220300006800,20220300006802,76
2022,6,1,46,"Female","Black","College degree",1460,40,"Not Hispanic",6991,20210300007600,20210300007601,79
2022,6,1,22,"Female","Black","No college degree",300,30,"Not Hispanic",5080,20210300007600,20210300007602,79
2022,6,1,26,"Female","Black","College degree",770,40,"Not Hispanic",7870,20210300007600,20210300007603,79
2022,6,1,48,"Male","Asian only","College degree",1540,56,"Not Hispanic",3570,20210300007700,20210300007703,81
2022,6,1,49,"Male","White","No college degree",1320,40,"Not Hispanic",8290,20220300008500,20220300008501,91
2022,6,1,28,"Female","Black","No college degree",850,50,"Not Hispanic",8680,20220300009700,20220300009701,101
2022,6,1,38,"Male","Black","College degree",2884.61,40,"Not Hispanic",7290,20220300011300,20220300011301,121
2022,6,1,72,"Male","Black","No college degree",500,40,"Not Hispanic",4870,20220300011300,20220300011303,121
2022,6,1,34,"Male","White","College degree",1052,16,"Not Hispanic",6680,20210300012100,20210300012101,125
2022,6,1,33,"Female","White","College degree",916,16,"Not Hispanic",7270,20210300012100,20210300012102,125
2022,6,1,58,"Male","Black","No college degree",868,45,"Not Hispanic",7680,20210300012900,20210300012901,137
2022,6,1,70,"Male","Black","College degree",1360,50,"Not Hispanic",6170,20220300012800,20220300012801,139
2022,6,1,27,"Female","Black","No college degree",600,40,"Not Hispanic",6991,20220300012800,20220300012802,139
2022,6,1,51,"Male","Black","No college degree",680,40,"Not Hispanic",4870,20220300013500,20220300013501,145
2022,6,1,26,"Male","Black","No college degree",720,26,"Not Hispanic",8191,20220300015000,20220300015001,156
2022,6,1,17,"Male","Black","No college degree",264,24,"Not Hispanic",8680,20220300015000,20220300015002,156
2022,6,1,25,"Male","White","No college degree",866,40,"Not Hispanic",8191,20220300015700,20220300015702,162
2022,6,1,52,"Female","Black","No college degree",720,40,"Not Hispanic",8270,20210300016100,20210300016102,164
2022,6,1,57,"Female","Black","No college degree",530,40,"Not Hispanic",7580,20220300016300,20220300016301,168
2022,6,1,54,"Male","Black","No college degree",904,43,"Not Hispanic",3291,20210300018800,20210300018801,191
2022,6,1,53,"Female","Black","No college degree",580,39,"Not Hispanic",2870,20210300018800,20210300018802,191
2022,6,1,33,"Female","White","College degree",2884.61,40,"Not Hispanic",6890,20220300020300,20220300020301,210
2022,6,1,31,"Male","White","College degree",2400,40,"Not Hispanic",6870,20220300022700,20220300022701,243
2022,6,1,26,"Female","White","College degree",2160,40,"Not Hispanic",5170,20220300022700,20220300022702,243
2022,6,1,49,"Female","Black-American Indian","College degree",2884.61,40,"Not Hispanic",7390,20210300024300,20210300024301,244
2022,6,1,26,"Female","Black","No college degree",394,35,"Not Hispanic",5391,20220300023300,20220300023301,250
2022,6,1,26,"Male","Black","No college degree",808,40,"Not Hispanic",6170,20220300023300,20220300023302,250
2022,6,1,39,"Female","White","No college degree",1154,40,"Not Hispanic",7071,20220300029000,20220300029001,299
2022,6,1,38,"Male","White","College degree",1058,40,"Not Hispanic",3580,20220300029000,20220300029002,299
2022,6,1,59,"Female","White","No college degree",750,40,"Not Hispanic",9570,20210300031200,20210300031201,309
2022,6,1,66,"Female","Black","College degree",1194,40,"Not Hispanic",7860,20210300031600,20210300031601,311
2022,6,1,43,"Male","Black","No college degree",2000,40,"Not Hispanic",770,20210300031600,20210300031603,311
2022,6,1,18,"Female","Black","College degree",866,40,"Not Hispanic",7280,20210300032100,20210300032103,317
2022,6,1,55,"Female","White","No college degree",1058,40,"Not Hispanic",7970,20220300032500,20220300032501,331
2022,6,1,52,"Male","White","College degree",1058,40,"Not Hispanic",7970,20220300032500,20220300032502,331
2022,6,1,40,"Female","White","No college degree",384,NA,"Not Hispanic",9470,20210300034900,20210300034901,341
2022,6,1,58,"Female","White","No college degree",180,10,"Not Hispanic",8680,20220300034600,20220300034601,346
2022,6,1,52,"Male","White","No college degree",480,40,"Not Hispanic",3990,20220300034600,20220300034602,346
2022,6,1,60,"Female","White","College degree",1600,40,"Not Hispanic",6890,20210300035600,20210300035601,351
2022,6,1,62,"Male","Black","No college degree",308,60,"Hispanic",9160,20220300035100,20220300035101,355
2022,6,1,42,"Female","White","No college degree",876,40,"Not Hispanic",5070,20210300036900,20210300036901,360
2022,6,1,60,"Male","White","No college degree",800,55,"Not Hispanic",7860,20220300036600,20220300036601,362
2022,6,1,48,"Female","White","No college degree",1154,60,"Not Hispanic",4170,20210300037100,20210300037101,364
2022,6,1,29,"Male","White","No college degree",708,48,"Not Hispanic",2670,20210300038900,20210300038902,379
2022,6,1,22,"Female","White","No college degree",576,40,"Not Hispanic",7690,20210300039300,20210300039302,382
2022,6,1,23,"Male","White","No college degree",1440,40,"Not Hispanic",5391,20210300039300,20210300039303,382
2022,6,1,19,"Male","White","No college degree",980,40,"Not Hispanic",5391,20220400042200,20220400042202,398
2022,6,1,58,"Male","White","No college degree",1730,40,"Not Hispanic",4870,20220300044200,20220300044203,430
2022,6,1,57,"Male","White","College degree",1540,55,"Not Hispanic",2570,20210300044800,20210300044801,437
2022,6,1,55,"Female","White","No college degree",1630,45,"Not Hispanic",6870,20210300044800,20210300044802,437
2022,6,1,20,"Male","White","No college degree",250,40,"Not Hispanic",4690,20210300044800,20210300044804,437
2022,6,1,33,"Female","White","No college degree",442,25,"Not Hispanic",6992,20220300045000,20220300045001,440
2022,6,1,34,"Male","White","No college degree",530,40,"Not Hispanic",9470,20220300045000,20220300045002,440
2022,6,1,61,"Female","Black","No college degree",1250,40,"Not Hispanic",8191,20220300045800,20220300045801,450
2022,6,1,47,"Female","Black","College degree",1520,40,"Not Hispanic",7380,20220300045800,20220300045802,450
2022,6,1,72,"Female","White","No college degree",740,40,"Not Hispanic",5391,20210300046400,20210300046401,453
2022,6,1,46,"Male","White","No college degree",854,40,"Not Hispanic",4070,20210300046400,20210300046402,453
2022,6,1,47,"Female","White-Black","College degree",2020,40,"Not Hispanic",8680,20220300046700,20220300046703,456
2022,6,1,56,"Female","White","College degree",1192,40,"Not Hispanic",7860,20210300046800,20210300046801,460
2022,6,1,57,"Male","White","College degree",1500,40,"Not Hispanic",9160,20210300046800,20210300046802,460
2022,6,1,56,"Male","White","No college degree",1250,40,"Not Hispanic",6170,20210300047000,20210300047001,461
2022,6,1,73,"Male","White","College degree",1400,40,"Not Hispanic",7870,20220300048000,20220300048001,472
2022,6,1,29,"Male","White","No college degree",2000,60,"Not Hispanic",6170,20210300048400,20210300048401,481
2022,6,1,27,"Female","White","No college degree",858,40,"Not Hispanic",2880,20220300049000,20220300049002,482
2022,6,1,32,"Male","White","No college degree",770,40,"Not Hispanic",2370,20220300049000,20220300049003,482
2022,6,1,20,"Male","White","No college degree",1780,40,"Not Hispanic",4670,20210300049300,20210300049301,492
2022,6,1,33,"Male","White","No college degree",1100,47,"Not Hispanic",6170,20210300049600,20210300049601,494
2022,6,1,49,"Male","White","No college degree",1154,50,"Not Hispanic",7290,20220300050900,20220300050901,502
2022,6,1,47,"Male","White","No college degree",864,40,"Not Hispanic",1180,20220300051600,20220300051602,507
2022,6,1,38,"Male","White","College degree",2884.61,55,"Not Hispanic",7380,20210300051300,20210300051301,508
2022,6,1,24,"Male","White","No college degree",700,40,"Not Hispanic",3590,20220600051500,20220600051502,515
2022,6,1,25,"Male","White","College degree",1440,40,"Not Hispanic",7380,20210300052200,20210300052201,518
2022,6,1,25,"Female","White","College degree",1440,40,"Not Hispanic",8191,20210300052200,20210300052202,518
2022,6,1,31,"Female","White","No college degree",700,40,"Not Hispanic",5170,20210300052400,20210300052401,523
2022,6,1,57,"Female","White","No college degree",1000,40,"Not Hispanic",9470,20220300053700,20220300053702,526
2022,6,1,37,"Female","White","No college degree",628,40,"Not Hispanic",7190,20210300053200,20210300053202,528
2022,6,1,44,"Female","White","No college degree",628,40,"Not Hispanic",7970,20210300054300,20210300054302,538
2022,6,1,17,"Female","White","No college degree",126,17,"Not Hispanic",8680,20210300054300,20210300054303,538
2022,6,1,20,"Male","White","No college degree",600,40,"Not Hispanic",4270,20210300054300,20210300054304,538
2022,6,1,54,"Male","White","No college degree",1500,40,"Not Hispanic",770,20220300055600,20220300055601,544
2022,6,1,75,"Male","Black","No college degree",700,40,"Not Hispanic",6070,20210300056100,20210300056102,556
2022,6,1,45,"Male","Black","No college degree",1540,45,"Not Hispanic",3680,20210300056500,20210300056501,565
2022,6,1,21,"Female","Black","No college degree",164,24,"Not Hispanic",6380,20210300056500,20210300056503,565
2022,6,1,30,"Female","White","College degree",1058,36,"Not Hispanic",8090,20210300056700,20210300056701,567
2022,6,1,41,"Female","White","No college degree",300,30,"Not Hispanic",9090,20220300058600,20220300058601,572
2022,6,1,39,"Male","Black","College degree",924,40,"Not Hispanic",7860,20210300058100,20210300058101,575
2022,6,1,38,"Female","Black","College degree",740,40,"Not Hispanic",7860,20210300058100,20210300058102,575
2022,6,1,60,"Male","Black","No college degree",482,36,"Not Hispanic",7680,20210300058900,20210300058901,585
2022,6,1,58,"Female","Black","College degree",482,40,"Not Hispanic",4880,20210300058900,20210300058902,585
2022,6,1,66,"Female","White","College degree",2884.61,60,"Not Hispanic",5070,20210300060400,20210300060401,600
2022,6,1,71,"Female","White","No college degree",1850,40,"Not Hispanic",7780,20210300062100,20210300062102,615
2022,6,1,59,"Female","White","College degree",1730,70,"Not Hispanic",770,20210300062300,20210300062301,619
2022,6,1,51,"Male","White","No college degree",1154,50,"Not Hispanic",6380,20210300062300,20210300062302,619
2022,6,1,62,"Male","White","No college degree",1550,40,"Not Hispanic",8290,20220300063500,20220300063501,621
2022,6,1,49,"Male","White","No college degree",864,40,"Not Hispanic",6690,20220500062900,20220500062902,624
2022,6,1,37,"Female","White","College degree",130,10,"Not Hispanic",4265,20210300064200,20210300064201,644
2022,6,1,43,"Male","White","No college degree",2400,60,"Not Hispanic",6080,20210300064200,20210300064202,644
