client_zip,age,ethnicity,race,male,loc2,st_id,year
11205,25,Hispanic,White,1,jefferson st l line station,100,2016
11385,20,Hispanic,Black,1,myrtle - wyckoff avs station,119,2016
11226,19,Non-Hispanic,Black,0,winthrop street station 2 5 line,156,2016
11207,17,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
11225,21,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
11213,52,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
11203,59,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
11203,32,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
,22,Non-Hispanic,Black,0,winthrop street station 2 5 line,156,2016
11217,19,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
11203,33,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
11212,19,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
11208,18,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
11212,38,Non-Hispanic,Black,1,winthrop street station 2 5 line,156,2016
10455,18,Non-Hispanic,Black,1,jay st - metrotech,99,2016
11213,39,Non-Hispanic,Black,0,jay st - metrotech,99,2016
11212,41,Non-Hispanic,Black,1,jay st - metrotech,99,2016
11206,37,Hispanic,White,1,jay st - metrotech,99,2016
11205,31,Non-Hispanic,Black,0,jay st - metrotech,99,2016
11235,32,Non-Hispanic,Black,1,w 8 st - ny aquarium,154,2016
10456,32,Non-Hispanic,Black,0,w 8 st - ny aquarium,154,2016
11434,28,Non-Hispanic,White,1,w 8 st - ny aquarium,154,2016
11229,22,Non-Hispanic,Black,1,w 8 st - ny aquarium,154,2016
11234,52,Non-Hispanic,White,1,w 8 st - ny aquarium,154,2016
11237,27,Hispanic,White,1,clinton - washington avs station,64,2016
11214,27,Non-Hispanic,White,1,clinton - washington avs station,64,2016
12801,20,Hispanic,Black,1,clinton - washington avs station,64,2016
11206,18,Non-Hispanic,Black,1,flushing ave g line station,79,2016
11209,17,Hispanic,White,0,86 street r subway,23,2016
,36,Hispanic,White,1,livonia ave l line,111,2016
11299,18,Non-Hispanic,Black,0,livonia ave l line,111,2016
10029,41,Non-Hispanic,Black,1,livonia ave l line,111,2016
10474,21,Non-Hispanic,Black,1,van siclen av a c station,152,2016
11432,22,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
,30,Non-Hispanic,Black,1,van siclen av a c station,152,2016
11207,16,Hispanic,White,1,van siclen av a c station,152,2016
11216,19,Hispanic,Black,1,van siclen av 3 line,151,2016
11207,19,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
10455,19,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
11207,24,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
11207,25,Hispanic,White,1,van siclen av a c station,152,2016
11237,42,Hispanic,White,1,van siclen av a c station,152,2016
11233,24,Hispanic,White,1,van siclen av 3 line,151,2016
11207,17,Non-Hispanic,Black,0,van siclen av 3 line,151,2016
11217,30,Non-Hispanic,Black,0,van siclen av 3 line,151,2016
11215,49,Hispanic,White,0,van siclen av a c station,152,2016
11233,20,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
11207,37,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
11207,26,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
11237,26,Non-Hispanic,Black,1,van siclen av j z station,153,2016
11207,18,Non-Hispanic,Black,0,van siclen av j z station,153,2016
89156,25,Non-Hispanic,Black,1,van siclen av j z station,153,2016
11207,22,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
11236,18,Non-Hispanic,Black,1,van siclen av a c station,152,2016
11224,50,Non-Hispanic,Black,1,van siclen av a c station,152,2016
11207,27,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
11206,16,Non-Hispanic,Black,0,van siclen av 3 line,151,2016
11207,20,Non-Hispanic,Black,1,van siclen av a c station,152,2016
,31,Non-Hispanic,Black,1,van siclen av 3 line,151,2016
11212,46,Hispanic,White,0,utica ave and eastern parkway,70,2016
10468,30,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11203,17,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11236,17,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11233,59,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11203,20,Non-Hispanic,Black,0,utica ave and eastern parkway,70,2016
11203,20,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11233,20,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11224,55,Non-Hispanic,Black,0,utica ave and fulton st,150,2016
11216,18,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11213,30,Hispanic,Black,1,utica ave and eastern parkway,70,2016
11691,22,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11213,44,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
10001,30,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11212,24,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11207,26,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11340,25,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11213,28,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11221,41,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
,53,Non-Hispanic,Black,0,utica ave and eastern parkway,70,2016
11212,23,Non-Hispanic,Black,0,utica ave and eastern parkway,70,2016
11213,44,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11213,28,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
10456,18,0,Black,1,utica ave and fulton st,150,2016
,20,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11221,18,Non-Hispanic,Black,0,utica ave and fulton st,150,2016
11213,34,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11236,19,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11213,16,Hispanic,White,1,utica ave and fulton st,150,2016
11206,37,Hispanic,White,0,utica ave and fulton st,150,2016
10456,26,Hispanic,White,1,utica ave and fulton st,150,2016
,26,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11417,32,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11412,51,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11239,30,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11212,22,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11205,21,Hispanic,Black,1,utica ave and fulton st,150,2016
,16,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11213,27,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11692,19,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11221,23,Hispanic,Black,0,utica ave and eastern parkway,70,2016
11233,39,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11221,54,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11233,21,Non-Hispanic,Black,0,utica ave and fulton st,150,2016
,21,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11236,19,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11207,37,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11233,19,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11213,59,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
10472,20,Hispanic,Black,1,utica ave and eastern parkway,70,2016
11210,21,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
10000,32,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11233,28,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11213,61,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11215,58,0,0,0,utica ave and fulton st,150,2016
11200,26,Hispanic,Black,1,utica ave and fulton st,150,2016
11236,41,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11207,20,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
10302,20,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11203,19,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11213,22,Non-Hispanic,Black,0,utica ave and eastern parkway,70,2016
10453,56,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11212,39,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11203,31,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11207,34,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11221,58,Hispanic,White,1,utica ave and fulton st,150,2016
11213,23,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11221,22,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11213,31,Hispanic,Black,1,utica ave and eastern parkway,70,2016
11213,29,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11299,19,Non-Hispanic,Black,0,utica ave and eastern parkway,70,2016
10003,52,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11222,40,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11213,22,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11212,21,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11212,0,0,0,0,utica ave and eastern parkway,70,2016
11238,0,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
11433,21,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
10302,22,Non-Hispanic,Black,1,utica ave and fulton st,150,2016
11233,24,Non-Hispanic,Black,1,utica ave and eastern parkway,70,2016
