client_zip,las_race_key,hispanic_flag,age,year,male,dismissal,loc2,st_id
11222,Black,N,32,2016,1,0,kingston - throop avs,106
10016,Asian or Pacific Islander,N,47,2016,0,1,avenue h q subway,28
11236,Black,N,20,2016,1,0,nostrand ave and fulton st a c station,131
11236,Black,N,64,2016,1,0,utica ave and fulton st,150
,Black,N,23,2016,1,0,nostrand ave and fulton st a c station,131
11206,Black,N,29,2016,1,0,atlantic ave barclays center station,27
11203,Black,N,26,2016,0,1,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway,68
11424,Black,N,52,2016,1,0,bedford ave l station,44
11233,Black,N,52,2016,1,0,franklin ave c subway s subway,85
11230,White,N,22,2016,1,1,avenue m subway,31
10031,Black,N,59,2016,1,0,hoyt st 2 3,97
11226,Black,N,18,2016,1,1,brighton beach b subway q subway,50
11206,White,N,22,2016,1,0,graham ave l line,88
10303,Black,N,21,2016,1,1,dekalb ave b q r line,72
11433,Black,N,29,2016,1,0,hoyt-schermerhorn a c g line,98
11211,Black,N,22,2016,1,0,graham ave l line,88
10303,Black,N,20,2016,1,1,86 street r subway,23
11222,White,N,34,2016,1,1,franklin ave c subway s subway,85
10304,Black,N,56,2016,1,0,hoyt st 2 3,97
11208,Black,N,25,2016,1,0,pennsylvania ave 3 line station,135
11206,Black,N,19,2016,1,1,kosciuszko st j subway,108
11233,Black,N,33,2016,1,1,utica ave and fulton st,150
11692,Black,N,28,2016,1,0,nevins st 2 3 4 5 lines,123
11210,Black,N,19,2016,1,0,myrtle av and broadway station,117
11207,Black,N,27,2016,1,1,junius st 3 line,101
11210,Black,Y,20,2016,1,1,flatbush av-brooklyn college station,78
11212,Black,N,53,2016,1,0,hoyt-schermerhorn a c g line,98
11226,Black,N,23,2016,1,1,franklin ave and eastern parkway,84
11233,Black,N,24,2016,1,0,euclid av a subway a subway,77
11216,Black,N,28,2016,0,1,hoyt-schermerhorn a c g line,98
11212,Black,N,17,2016,1,1,sutter av - rutland rd 3 line,148
11212,Black,N,31,2016,1,0,rockaway ave c line,141
10038,Black,N,21,2016,1,0,jay st - metrotech,99
11205,Black,N,23,2016,1,1,atlantic ave barclays center station,27
11236,Black,N,21,2016,1,1,hoyt-schermerhorn a c g line,98
11212,Black,N,18,2016,1,1,dekalb l station,73
11237,White,N,45,2016,1,0,marcy ave j m z line,114
11208,White,N,21,2016,1,1,norwood ave j z line,129
11208,Black,N,18,2016,1,1,nostrand ave and fulton st a c station,131
11226,Black,N,25,2016,0,1,nostrand ave and fulton st a c station,131
11233,Black,N,19,2016,1,0,rockaway ave c line,141
11422,Black,N,39,2016,1,1,rockaway ave c line,141
11203,Black,N,34,2016,1,1,nostrand ave and fulton st a c station,131
11234,Black,N,23,2016,1,1,canarsie rockaway pkwy,54
11226,Black,N,17,2016,1,0,church av b subway q subway,59
11208,White,Y,57,2016,1,1,kosciuszko st j subway,108
11234,Black,N,20,2016,1,0,utica ave and fulton st,150
11207,Black,N,30,2016,0,1,rockaway ave c line,141
,Black,N,31,2016,1,0,court st r subway/borough hall 2 subway 3 subway 4 subway 5 subway,68
11221,Black,N,23,2016,1,1,gates av j subway z subway,87
10035,Black,N,20,2016,0,1,71st st and new utrecht ave d subway,18
11212,Black,N,50,2016,1,1,nostrand ave and fulton st a c station,131
,Black,N,29,2016,1,0,utica ave and fulton st,150
11216,Black,N,24,2016,1,1,nostrand ave 3 line,130
11230,White,N,33,2016,1,1,avenue m subway,31
11216,Black,N,26,2016,1,0,nostrand ave and fulton st a c station,131
10003,Black,N,19,2016,1,1,nostrand ave and fulton st a c station,131
11377,Hispanic,N,46,2016,1,1,nostrand ave and fulton st a c station,131
10303,Black,N,20,2016,1,1,church av b subway q subway,59
11420,Black,Y,19,2016,1,1,nostrand ave and fulton st a c station,131
10002,White,N,34,2016,1,0,jay st - metrotech,99
11434,Black,N,22,2016,1,0,utica ave and fulton st,150
11208,Black,N,32,2016,1,0,nostrand ave and fulton st a c station,131
10304,Black,N,20,2016,1,0,utica ave and eastern parkway,70
11233,Hispanic,N,22,2016,0,1,utica ave and fulton st,150
11206,Black,N,33,2016,1,1,graham ave l line,88
11211,White,Y,19,2016,1,0,graham ave l line,88
11210,Black,N,18,2016,1,0,graham ave l line,88
10453,Black,N,26,2016,1,0,clinton - washington avs station,64
,Black,N,51,2016,1,1,9 ave and new utrecht ave,24
11225,Black,N,45,2016,1,1,prospect park subway station b q s lines,138
11222,Black,N,33,2016,1,0,jay st - metrotech,99
11207,Black,N,47,2016,0,0,marcy ave j m z line,114
11385,Black,N,55,2016,1,0,myrtle - wyckoff avs station,119
11216,Black,N,32,2016,1,0,nostrand ave and fulton st a c station,131
11221,Black,N,20,2016,1,1,nostrand ave and fulton st a c station,131
11208,Black,N,21,2016,1,1,utica ave and eastern parkway,70
11205,Black,N,30,2016,0,1,nevins st 2 3 4 5 lines,123
11106,Black,N,31,2016,1,1,franklin ave and eastern parkway,84
,White,N,22,2016,0,1,jay st - metrotech,99
11213,Black,N,19,2016,1,1,jay st - metrotech,99
,Black,N,50,2016,1,0,myrtle av and broadway station,117
11212,Black,N,22,2016,1,1,new lots ave l line,125
10026,Black,N,19,2016,1,0,nostrand ave and fulton st a c station,131
11385,Black,N,16,2016,1,1,metropolitan and lorimer g l station,113
11208,White,N,18,2016,1,1,nostrand ave and fulton st a c station,131
11221,Black,N,56,2016,1,1,utica ave and fulton st,150
10469,Black,N,50,2016,1,0,gates av j subway z subway,87
11226,Black,N,47,2016,1,0,sutter av - rutland rd 3 line,148
10456,Black,N,55,2016,1,0,gates av j subway z subway,87
10460,Black,N,25,2016,1,0,grand st and bushwick ave,90
,Black,N,23,2016,1,1,clinton - washington avs station,64
11236,Black,N,21,2016,0,1,kosciuszko st j subway,108
11691,Black,N,22,2016,1,1,kingston - throop avs,106
11207,Black,N,30,2016,1,1,utica ave and fulton st,150
10013,Black,N,47,2016,1,0,kingston - throop avs,106
11212,Black,N,21,2016,1,1,junius st 3 line,101
11208,Black,N,52,2016,1,1,saratoga ave 3 line,142
,Black,N,52,2016,1,,fulton st and ralph ave,139
11373,White,N,27,2016,1,0,sheepshead bay b q line,143
,Black,N,21,2016,1,0,utica ave and fulton st,150
11201,Black,N,20,2016,1,0,utica ave and fulton st,150
11233,Black,N,20,2016,1,0,utica ave and fulton st,150
,Black,N,17,2016,0,1,canarsie rockaway pkwy,54
11370,Black,N,33,2016,0,1,prospect park subway station b q s lines,138
,Black,N,29,2016,1,0,utica ave and fulton st,150
11212,,N,24,2016,1,0,saratoga ave 3 line,142
11207,Black,N,46,2016,1,0,utica ave and fulton st,150
11232,White,Y,35,2016,1,1,jefferson st l line station,100
,White,Y,54,2016,1,0,marcy ave j m z line,114
,Black,N,19,2016,1,,metropolitan and lorimer g l station,113
,White,N,51,2016,1,0,sutter avenue station l line,147
11105,White,N,21,2016,1,1,saratoga ave 3 line,142
11226,Black,N,23,2016,1,1,nostrand ave and fulton st a c station,131
11219,Hispanic,N,56,2016,1,0,53 st r subway,13
,,N,50,2016,0,1,jay st - metrotech,99
11214,White,N,28,2016,1,1,canarsie rockaway pkwy,54
11208,White,N,16,2016,1,1,alabama av j subway,25
11233,Black,N,40,2016,1,0,myrtle av and broadway station,117
11206,Black,N,36,2016,1,1,metropolitan and lorimer g l station,113
11230,White,Y,21,2016,1,0,utica ave and eastern parkway,70
11233,Black,N,36,2016,1,0,jefferson st l line station,100
11213,Black,N,27,2016,1,1,metropolitan and lorimer g l station,113
11229,White,N,22,2016,1,,kings highway b q line,102
11221,Black,N,23,2016,0,1,utica ave and eastern parkway,70
,,N,21,2016,1,1,van siclen av j z station,153
11230,,N,19,2016,1,1,church ave and nostrand ave,58
,White,N,23,2016,1,1,53 st r subway,13
11216,Black,N,48,2016,1,1,nostrand ave and fulton st a c station,131
11205,Black,N,20,2016,0,1,dekalb ave b q r line,72
11203,Black,N,51,2016,1,0,winthrop street station 2 5 line,156
11210,Black,N,31,2016,1,0,newkirk ave 2 5 station,127
11230,White,Y,53,2016,1,1,coney island-stillwell ave,66
11385,White,N,26,2016,1,0,grand st and bushwick ave,90
11217,Black,N,37,2016,1,0,flushing ave j line m line station,80
10029,White,N,25,2016,0,1,hoyt st 2 3,97
11206,White,N,37,2016,1,0,canarsie rockaway pkwy,54
10453,Hispanic,N,38,2016,0,1,7 av f subway g subway,17
11237,Black,N,26,2016,1,1,graham ave l line,88
11221,Black,N,30,2016,1,1,utica ave and fulton st,150
10468,Black,N,24,2016,1,1,bergen st 2 subway 3 subway,46
11212,Black,N,58,2016,1,0,nostrand ave and fulton st a c station,131
