st_id,crimes
43,520
23,928
19,643
42,913
15,951
13,1121
21,730
11,911
83,628
9,606
2,577
20,389
18,454
5,763
8,360
126,474
55,409
145,409
14,317
12,414
24,445
81,548
39,702
61,488
137,547
96,481
47,1261
68,2367
10,628
4,375
99,2856
7,511
157,682
98,2391
6,317
97,2746
38,428
149,592
41,426
66,1051
35,2042
72,2042
123,1925
104,446
1,390
60,435
74,386
17,386
3,537
27,1837
29,300
154,916
82,282
40,186
22,630
46,1711
86,1537
122,456
37,308
32,319
34,292
33,354
109,1512
16,883
103,310
89,600
132,523
65,579
64,787
48,787
76,533
67,671
59,1467
128,559
138,728
28,366
134,1340
50,793
30,402
62,1080
31,396
84,1050
114,1162
102,705
133,1009
44,1026
85,1473
36,389
121,342
95,1102
143,582
45,1171
146,1279
130,1083
136,1201
120,669
79,1000
92,962
51,962
156,1094
131,1556
58,1344
113,796
118,1393
49,1156
127,1265
112,1107
78,1258
88,881
105,837
80,1961
106,1285
90,905
115,1172
117,1523
116,682
70,1854
150,1246
108,1131
56,919
148,1731
87,1314
100,769
139,1332
107,1328
73,935
93,1258
142,1361
119,738
141,1353
57,1108
140,1547
53,708
94,314
155,413
52,1044
54,661
26,1057
101,1483
147,1589
111,1335
75,457
25,770
125,739
110,871
135,1563
153,879
152,1063
151,1412
63,835
124,1189
144,1242
129,763
69,886
71,374
77,1158
91,839
