st_id,mta_name,swipes2011,swipes2012,swipes2013,swipes2014,swipes2015,swipes2016
1,"15 St-Prospect Park F subway G subway",1449241,1852346,2005424,2017347,2011237,1958444
2,"18 Av  D subway",1654305,1661770,1954729,1996205,1925239,2003777
3,"18 Av  F subway",1306839,1294568,1313344,1277024,1392552,1344286
4,"18 Av N subway",1828462,1819255,1641928,1775695,1784992,723187
5,"20 Av  D subway",1370001,1377648,1547029,1564060,1592525,1656437
6,"20 Av  N subway",1220065,1245145,1286961,1305487,1279525,409416
7,"25 Av  D subway",1266146,1206526,1421090,1488192,1508412,1992945
8,"25 St  R subway",1243737,1198226,1218842,1274939,1221949,1188884
9,"36 St  D subway N subway R subway",3659139,3772420,3826400,3970318,4138929,4235509
10,"4 Av F subway G subway/9 St R subway",4020665,4300400,4210873,4120946,4199208,4138758
11,"45 St  R subway",2328141,2255877,2251217,2323521,2321241,2228315
12,"50 St  D subway",897609,941157,1021409,1009971,968612,1012356
13,"53 St  R subway ",2401105,2357449,2387370,2405353,2374338,2334471
14,"55 St  D subway",586282,546080,601931,603320,595157,665488
15,"59 St  N subway R subway",3819141,3848745,3968334,4094658,4158863,4169280
16,"7 Av  B subway Q subway ",2953368,2824839,2905400,2932926,2980366,2943272
17,"7 Av F subway G subway",3934545,3699471,3904986,3886594,3780126,3700321
18,"71 St D subway",1115321,1191257,1446020,1481633,1487929,2029479
19,"77 St  R subway ",1579635,1600644,1645262,1711410,1723178,1743795
20,"79 St  D subway",1633616,1651785,1949861,2041896,2043471,2137349
21,"8 Av N subway",3484429,3559576,3677764,3851372,3796909,4586559
22,"86 St  N subway",796379,811332,801109,837472,859293,419039
23,"86 St  R subway",3445470,3515085,3662602,3753132,3747601,3752400
24,"9 Av D subway",1681423,1668767,1896942,1938987,1843944,1858368
25,"Alabama Av  J subway",759581,772447,770075,784998,814578,834945
26,"Atlantic Av  L subway",427914,444960,482835,535041,422505,436300
27,"Atlantic Av-Barclays Ctr B subway D subwayN subwayQ subwayR subway 2 subway 3 subway 4 subway 5 subway",10726332,11526090,13122876,13617153,13690678,13818168
28,"Avenue H Q subway",521818,823237,875106,896279,899662,952855
29,"Avenue I F subway",696851,684241,699582,696140,672710,585217
30,"Avenue J  Q subway",2085557,1807574,1867576,1850087,1848674,1867727
31,"Avenue M  Q subway",1345774,1608901,1730576,1731955,1733583,1776762
32,"Avenue N F subway",1049752,1012534,1044429,1050916,1027713,941921
33,"Avenue P F subway",836317,825620,861095,864424,858733,809816
34,"Avenue U  F subway",696998,707595,717486,699414,716715,772331
35,"Avenue U  N subway",1244178,1297870,1211062,1251276,1253349,456533
36,"Avenue U  Q subway",2136714,2071874,2176073,2175035,2231577,2332985
37,"Avenue X  F subway",854737,860597,908520,892170,589962,727220
38,"Bay 50 St  D subway",920243,777836,847843,884302,872953,972937
39,"Bay Pkwy  D subway",2018400,2038864,2298420,2362284,2368617,2578524
40,"Bay Pkwy  F subway",434564,464906,487308,478322,460536,406793
41,"Bay Pkwy  N subway",2160569,2221968,2243082,2342792,2298369,3435240
