stfips,region,year,ymcaid,exp,ch_pop,crate0,chrate0,hc,rmvp_ch_dent,rmvp_ch_pdrug,rmvp_ch_md,rmvp_ch_hosp,rmvp_ch,emvp_ch_dent,emvp_ch_pdrug,emvp_ch_md,emvp_ch_hosp,emvp_ch,pcmvp_ch_dent,pcmvp_ch_pdrug,pcmvp_ch_md,pcmvp_ch_hosp,pcmvp_ch,prmvp_ch_dent,prmvp_ch_pdrug,prmvp_ch_md,prmvp_ch_hosp,prmvp_ch,hpc,bpc,pcinc
1,4,1963,1970,-4,1379632.671875,3.8093157,8.0161371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.037103139,4.2544932,1.734
1,4,1964,1970,-4,1376832.578125,3.8093157,8.0161371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.03872481,4.4770684,1.864
1,4,1965,1970,-4,1374032.421875,3.8093157,8.0161371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.038837131,4.4820042,2
1,4,1966,1970,-4,1371232.328125,3.8093157,8.0161371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.03775911,4.5575542,2.132
1,4,1967,1970,-3,1368432.21875,3.8093157,8.0161371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.036691371,4.8166304,2.256
1,4,1968,1970,-2,1365632.09375,3.8093157,8.0161371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.036517248,4.7787533,2.474
1,4,1969,1970,-1,1362832,3.8093157,8.0161371,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.03634477,4.9883199,2.734
1,4,1970,1970,0,1364955,3.8093157,8.0161371,1,.0030387997899771,.0303277398122528,.0307321493627025,.0051071281225827,.0307321493627025,1303014.875,2184662.25,6215294.5,8803889,21424098,.95462114,1.6005379,4.5534792,6.4499483,15.695827,314.14413,52.774719,148.16664,1262.9305,510.72989,.035894617,4.9774833,2.962
1,4,1971,1970,1,1367078,3.8093157,8.0161371,1,.0030619813080669,.0346510956981717,.0364292017362006,.0055591679238559,.0423978431300774,1303014.875,2506717.875,7997329.25,11582271,27325127,.95313865,1.8336319,5.8499436,8.4722824,19.98798,311.28168,52.916996,160.58391,1524.0199,471.4386,.036313217,4.9108624,3.206
1,4,1972,1970,2,1364949,3.8093157,8.0161371,1,.0030851625192482,.0403998315248312,.0439979150162639,.006161720131183,.0578370818694648,1303014.875,2936125.375,10373375.5,15286779.5,35193166,.95462531,2.151088,7.5998263,11.199524,25.783503,309.42465,53.244972,172.73151,1817.597,445.79535,.038418047,5.1790915,3.526
1,4,1973,1970,3,1359850,3.8093157,8.0161371,1,.0077968381659624,.0433984706630076,.0478462934852901,.0065202213850313,.0686661291028613,3292427.6875,3069232.625,11756563.5,16851091.5,40862962,2.4211698,2.2570376,8.6454859,12.391875,30.04961,310.53226,52.007309,180.6929,1900.5298,437.61911,.039656397,5.4605742,3.943
1,4,1974,1970,4,1355803,3.8093157,8.0161371,1,.0155545312432294,.0462661283959724,.0538491251148336,.0068756416750958,.0783909622322451,6852926.75,3324139.75,13383961.5,18036330,48619404,5.0545149,2.4517868,9.8716125,13.303061,35.860226,324.9545,52.993126,183.31982,1934.8101,457.45358,.038591117,5.4647775,4.336
1,4,1975,1970,5,1354578,3.8093157,8.0161371,1,.0205899590648801,.0477787304466841,.056912393538233,.0074093897283782,.0816554101123684,8778909,3294002.125,14068410.5,20147591,54880970,6.4809179,2.4317553,10.385825,14.873703,40.515179,314.76111,50.896187,182.48793,2007.4127,496.17261,.037494957,5.4976301,4.766
1,4,1976,1970,6,1352321,3.8093157,8.0161371,1,.0226221929805579,.0480419037810603,.0560111418717708,.0078049415720857,.082273076944035,9133805,3034712.75,13914638,21711798,57088880,6.7541695,2.2440772,10.289449,16.05521,42.215481,298.56387,46.710831,183.70361,2057.0571,513.11414,.037195232,5.4821491,5.313
2,5,1963,1972,-4,107648.3359375,4.7843308,6.2772479,1,0,0,0,0,0,0,0,0,0,25447.056640625,0,0,0,0,.23639062,0,0,0,0,0,.076343648,5.1752958,3.087
2,5,1964,1972,-4,111030.4423828125,4.7843308,6.2772479,1,0,0,0,0,0,0,0,0,0,25447.056640625,0,0,0,0,.2291899,0,0,0,0,0,.081889257,5.2955055,3.382
2,5,1965,1972,-4,114412.5576171875,4.7843308,6.2772479,1,0,0,0,0,0,0,0,0,0,25447.056640625,0,0,0,0,.2224149,0,0,0,0,0,.079541504,4.9643998,3.549
2,5,1966,1972,-4,117794.6640625,4.7843308,6.2772479,1,0,0,0,0,0,0,0,0,0,25447.056640625,0,0,0,0,.21602894,0,0,0,0,0,.077324614,4.8640866,3.807
2,5,1967,1972,-4,121176.7783203125,4.7843308,6.2772479,1,0,0,0,0,0,0,0,0,0,25447.056640625,0,0,0,0,.20999944,0,0,0,0,0,.078810237,4.6211457,4.065
2,5,1968,1972,-4,124558.884765625,4.7843308,6.2772479,1,0,0,0,0,0,0,0,0,0,25447.056640625,0,0,0,0,.20429741,0,0,0,0,0,.073241986,4.3526669,4.305
2,5,1969,1972,-3,127941,4.7843308,6.2772479,1,.0000117242238333,.0000117242238333,.0000351730812836,.0000156323273176,.0000664390728958,0,0,0,0,25447.056640625,0,0,0,0,.19889681,0,0,0,0,2993.6724,.071358182,4.0436306,4.769
2,5,1970,1972,-2,131118,4.7843308,6.2772479,1,0,0,0,0,0,0,0,0,0,25447.056640625,0,0,0,0,.19407752,0,0,0,0,0,.068778493,3.9498506,5.248
2,5,1971,1972,-1,134295,4.7843308,6.2772479,1,0,0,0,0,0,0,0,0,0,25447.056640625,0,0,0,0,.18948625,0,0,0,0,0,.069539711,3.7266963,5.583
2,5,1972,1972,0,136554,4.7843308,6.2772479,1,.0039662625242805,0,.0079072678452168,.0009084783463965,.0086937065142133,324652.65625,0,299851.375,280230.40625,632174.2783203125,2.3774672,0,2.1958447,2.0521581,4.6294818,599.42255,0,277.69955,2258.896,532.50958,.06739556,3.700629,5.94
2,5,1973,1972,1,137289,4.7843308,6.2772479,1,.0077152782117694,0,.0200221592767535,.0024731082902326,.0220127245094883,649305.3125,0,891254.625,702404.21875,2027566.125,4.7294779,0,6.4918137,5.1162453,14.768599,613.00165,0,324.23145,2068.751,670.91187,.066039495,3.3560069,6.805
2,5,1974,1972,2,139744,4.7843308,6.2772479,1,.0090212101927409,0,.024888838436214,.0032058696348642,.0302813015436503,648636.75,0,1279273.125,1130018.8125,3277093.375,4.6416073,0,9.1544046,8.0863495,23.450691,514.52155,0,367.81165,2522.3574,774.4281,.063831389,3.2379925,8.130000000000001
2,5,1975,1972,3,148514,4.7843308,6.2772479,1,.0104469749915141,0,.0228071054229104,.0031074514362014,.0322124513173243,743038.90625,0,1303069.9375,1379444.875,3795771.875,5.0031571,0,8.7740545,9.2883158,25.558344,478.90967,0,384.70706,2989.0461,793.4306,.059320617,3.1278143,10.666
2,5,1976,1972,4,154354,4.7843308,6.2772479,1,.0103651940511826,0,.0200825217742631,.002908864354198,.0303841182149801,838109.625,0,1230400.125,1343199.75,3853587.75,5.4297891,0,7.9712877,8.7020731,24.965908,523.84827,0,396.92664,2991.5706,821.67621,.05597993,3.1526878,12.109
4,5,1963,1982,,599558.671875,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.052933797,4.952096,2.208
4,5,1964,1982,,614920.91796875,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.048639208,4.7058434,2.314
4,5,1965,1982,,630283.08203125,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.047874544,4.557591,2.409
4,5,1966,1982,,645645.3125,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.046516065,4.6022229,2.579
4,5,1967,1982,,661007.54296875,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.045232553,4.7500377,2.749
4,5,1968,1982,,676369.76953125,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,.044017974,4.6550512,3.085
