country,Indicator.Name,year,healthexp
Aruba,Current health expenditure per capita (current US$),2002,NA
Afghanistan,Current health expenditure per capita (current US$),2002,16.24954033
Angola,Current health expenditure per capita (current US$),2002,28.96136665
Albania,Current health expenditure per capita (current US$),2002,NA
Andorra,Current health expenditure per capita (current US$),2002,2256.349121
Arab World,Current health expenditure per capita (current US$),2002,117.3381496
United Arab Emirates,Current health expenditure per capita (current US$),2002,850.9515381
Argentina,Current health expenditure per capita (current US$),2002,222.621994
Armenia,Current health expenditure per capita (current US$),2002,59.6339798
American Samoa,Current health expenditure per capita (current US$),2002,NA
Antigua and Barbuda,Current health expenditure per capita (current US$),2002,512.317688
Australia,Current health expenditure per capita (current US$),2002,1763.740723
Austria,Current health expenditure per capita (current US$),2002,2486.128418
Azerbaijan,Current health expenditure per capita (current US$),2002,27.764842989999998
Burundi,Current health expenditure per capita (current US$),2002,7.923168182
Belgium,Current health expenditure per capita (current US$),2002,2074.923828
Benin,Current health expenditure per capita (current US$),2002,17.39034081
Burkina Faso,Current health expenditure per capita (current US$),2002,8.713751793
Bangladesh,Current health expenditure per capita (current US$),2002,9.058132172
Bulgaria,Current health expenditure per capita (current US$),2002,148.1479187
Bahrain,Current health expenditure per capita (current US$),2002,503.0286865
"Bahamas, The",Current health expenditure per capita (current US$),2002,1192.572021
Bosnia and Herzegovina,Current health expenditure per capita (current US$),2002,126.856987
Belarus,Current health expenditure per capita (current US$),2002,86.54052734
Belize,Current health expenditure per capita (current US$),2002,160.0285034
Bermuda,Current health expenditure per capita (current US$),2002,NA
Bolivia,Current health expenditure per capita (current US$),2002,44.73251724
Brazil,Current health expenditure per capita (current US$),2002,246.1060333
Barbados,Current health expenditure per capita (current US$),2002,670.696167
Brunei Darussalam,Current health expenditure per capita (current US$),2002,473.1112671
Bhutan,Current health expenditure per capita (current US$),2002,36.71083832
Botswana,Current health expenditure per capita (current US$),2002,196.218277
Central African Republic,Current health expenditure per capita (current US$),2002,10.51685905
Canada,Current health expenditure per capita (current US$),2002,2150.886719
Central Europe and the Baltics,Current health expenditure per capita (current US$),2002,298.2324758
Switzerland,Current health expenditure per capita (current US$),2002,4420.574219
Channel Islands,Current health expenditure per capita (current US$),2002,NA
Chile,Current health expenditure per capita (current US$),2002,324.3238525
China,Current health expenditure per capita (current US$),2002,49.47109604
Cote d'Ivoire,Current health expenditure per capita (current US$),2002,31.25056648
Cameroon,Current health expenditure per capita (current US$),2002,31.32293129
"Congo, Dem. Rep.",Current health expenditure per capita (current US$),2002,4.69065094
"Congo, Rep.",Current health expenditure per capita (current US$),2002,16.63050652
Colombia,Current health expenditure per capita (current US$),2002,128.2384033
Comoros,Current health expenditure per capita (current US$),2002,48.32817078
Cabo Verde,Current health expenditure per capita (current US$),2002,71.40619659
Costa Rica,Current health expenditure per capita (current US$),2002,280.2767334
Caribbean small states,Current health expenditure per capita (current US$),2002,272.7940161
Cuba,Current health expenditure per capita (current US$),2002,213.0417938
Curacao,Current health expenditure per capita (current US$),2002,NA
Cayman Islands,Current health expenditure per capita (current US$),2002,NA
Cyprus,Current health expenditure per capita (current US$),2002,890.4829712
Czech Republic,Current health expenditure per capita (current US$),2002,497.7420349
Germany,Current health expenditure per capita (current US$),2002,2551.568115
Djibouti,Current health expenditure per capita (current US$),2002,40.23333359
Dominica,Current health expenditure per capita (current US$),2002,259.6641846
Denmark,Current health expenditure per capita (current US$),2002,2895.807373
Dominican Republic,Current health expenditure per capita (current US$),2002,153.2112427
Algeria,Current health expenditure per capita (current US$),2002,66.17266846
East Asia & Pacific (excluding high income),Current health expenditure per capita (current US$),2002,43.78640468
Early-demographic dividend,Current health expenditure per capita (current US$),2002,61.2111825
East Asia & Pacific,Current health expenditure per capita (current US$),2002,224.4713996
